,"How to use this sheet: This sheet is designed to allow you to track your progress.  
Once you have mastered a grammar point or vocabulary / kanji  change the selector in Yes and your progress percentage will update",,,,
,,,,,
,Copyright © 2019 Coto Japanese Academy,,,,
,https://www.cotoacademy.com,,,,
,This is a read only version - go to FILE > MAKE A COPY to download to your own google drive,,,,
Kanji,pronunciation,English,Mastered?,Percent Completed,Kanji Mastered
,,,,0.00%,0
招,ショウ・まね.く,beckon; invite; summon; engage,FALSE,,
要,ヨウ・い.る・かなめ,need; main point; essence; pivot; key to,FALSE,,
位,イ・くらい・ぐらい,rank; grade; throne; crown; about; some,FALSE,,
原,ゲン・はら,meadow; original; primitive; field; plain; prairie; tundra; wilderness,FALSE,,
交,コウ・まじ.わる・まじ.える・ま.じる・まじ.る・ま.ざる・ま.ぜる・~か.う・か.わす・かわ.す・こもごも,mingle; mixing; association; coming & going,FALSE,,
財,ザイ・サイ・ゾク・たから,property; money; wealth; assets,FALSE,,
皆,カイ・みな・みんな,all; everything,FALSE,,
内,ナイ・ダイ・うち,inside; within; between; among; house; home,FALSE,,
昔,セキ・シャク・むかし,once upon a time; antiquity; old times,FALSE,,
収,シュウ・おさ.める・おさ.まる,income; obtain; reap; pay; supply; store,FALSE,,
首,シュ・くび,neck; counter for songs and poems,FALSE,,
勝,ショウ・か.つ・~が.ち・まさ.る・すぐ.れる・かつ,victory; win; prevail; excel,FALSE,,
髪,ハツ・かみ,hair of the head,FALSE,,
積,セキ・つ.む・~づ.み・つ.もる・つ.もり,volume; product (x*y); acreage; contents; pile up; stack; load; amass,FALSE,,
感,カン,emotion; feeling; sensation,FALSE,,
働,ドウ・はたら.く,work; (kokuji),FALSE,,
未,ミ・ビ・いま.だ・ま.だ・ひつじ,un-; not yet; hitherto; still; even now; sign of the ram; 1-3PM; eighth sign of Chinese zodiac,FALSE,,
逃,トウ・に.げる・に.がす・のが.す・のが.れる,escape; flee; shirk; evade; set free,FALSE,,
資,シ,assets; resources; capital; funds; data; be conducive to; contribute to,FALSE,,
現,ゲン・あらわ.れる・あらわ.す・うつつ・うつ.つ,present; existing; actual,FALSE,,
