,"How to use this sheet: This sheet is designed to allow you to track your progress.  
Once you have mastered a grammar point or vocabulary / kanji  change the selector in Yes and your progress percentage will update",,,,
,,,,,
,Copyright © 2019 Coto Japanese Academy,,,,
,https://www.cotoacademy.com,,,,
,This is a read only version - go to FILE > MAKE A COPY to download to your own google drive,,,,
Kanji,pronunciation,English,Mastered?,Percent Completed,Kanji Mastered
,,,,0.00%,0
匹,ヒツ・ひき,equal; head; counter for small animals; roll of cloth,FALSE,,
療,リョウ,heal; cure,FALSE,,
伺,シ・うかが.う,pay respects; visit; ask; inquire; question; implore,FALSE,,
森,シン・もり,forest; woods,FALSE,,
快,カイ・こころよ.い,cheerful; pleasant; agreeable; comfortable,FALSE,,
将,ショウ・ソウ・まさ.に・はた・まさ・ひきい.る・もって,leader; commander; general; admiral; or; and again; soon; from now on; just about,FALSE,,
弱,ジャク・よわ.い・よわ.る・よわ.まる・よわ.める,weak; frail,FALSE,,
燥,ソウ・はしゃ.ぐ,parch; dry up,FALSE,,
設,セツ・もう.ける,establishment; provision; prepare,FALSE,,
講,コウ,lecture; club; association,FALSE,,
塗,ト・ぬ.る・ぬ.り・まみ.れる,paint; plaster; daub; smear; coating,FALSE,,
募,ボ・つの.る,recruit; campaign; gather (contributions); enlist; grow violent,FALSE,,
陸,リク・ロク・おか,land; six,FALSE,,
鼻,ビ・はな,nose; snout,FALSE,,
沸,フツ・わ.く・わ.かす,seethe; boil; ferment; uproar; breed,FALSE,,
介,カイ,jammed in; shellfish; mediate; concern oneself with,FALSE,,
厚,コウ・あつ.い・あか,thick; heavy; rich; kind; cordial; brazen; shameless,FALSE,,
像,ゾウ,statue; picture; image; figure; portrait,FALSE,,
泉,セン・いずみ,spring; fountain,FALSE,,
河,カ・かわ,river,FALSE,,
昇,ショウ・のぼ.る,rise up,FALSE,,
乳,ニュウ・ちち・ち,milk; breasts,FALSE,,
幼,ヨウ・おさな.い,infancy; childhood,FALSE,,
群,グン・む.れる・む.れ・むら・むら.がる,flock; group; crowd; herd; swarm; cluster,FALSE,,
島,トウ・しま,island,FALSE,,
